Model,Spearmans rho (ρ),p-value
HUMAN,0.993,0.0
GPT,0.994,0.0
GPT_OPT,0.9856,0.0003
LLAMA,0.9701,0.0001
LLAMA_OPT,0.994,0.0
QWEN,0.9939,0.0
QWEN_OPT,0.9429,0.0048
